Sr#,PSID,Month,WMC,Division,District,Tehsil,Office,UC,Billing Category,Amount,Fine,Bill PDF,Channel,Paid Date,Paid Amount,Status,Active
317,26770110100905020239,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14854-area-5895-02-55-56.pdf,1Bill,"Nov 19, 2025",500,paid,1
318,26770110100905002672,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-10, Tilokar Shumali, Khushab",Domestic Rural Upto 5 marla,800,86,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14952-area-5447-02-56-25.pdf,1Bill,"Nov 19, 2025",800,paid,1
319,26770110100905018693,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-20/Block No 1,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14741-area-5892-02-55-19.pdf,1Bill,"Nov 19, 2025",300,paid,1
320,26770110100905018199,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-21/Satellite Town 02,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14754-area-5893-02-55-25.pdf,1Bill,"Nov 19, 2025",300,paid,1
321,26770110100905004795,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-27, Bijar Janubi, Khushab",Domestic Rural Above 5 to 10 marla,800,86,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-15025-area-5466-02-56-57.pdf,1Bill,"Nov 19, 2025",800,paid,1
322,26770110100905020555,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14854-area-5895-02-55-56.pdf,1Bill,"Nov 19, 2025",500,paid,1
323,26770110100905020552,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14854-area-5895-02-55-56.pdf,1Bill,"Nov 19, 2025",500,paid,1
324,26770110100905019450,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-24, Roda, Khushab",Commercial Rural Small business,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14887-area-5462-02-56-08.pdf,1Bill,"Nov 19, 2025",300,paid,1
325,26770110100905004100,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-20, Botala, Khushab",Domestic Rural Above 5 to 10 marla,800,86,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14999-area-5458-02-56-46.pdf,1Bill,"Nov 19, 2025",800,paid,1
326,26770110100905017503,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14852-area-5895-02-55-56.pdf,1Bill,"Nov 19, 2025",500,paid,1
